interviewee,part_name_related_profiledata,start,end,sentence,sentence_index,absolute_start,absolute_end,Name_NER,Final_Name
20th Anniversary of the Atomic Age,Anthony,36,43,Present at that historic moment was Anthony J.,46,4065,4072,['Anthony J.'],['Anthony J.']
20th Anniversary of the Atomic Age,David,36,41,Present at that historic moment was David R.,35,3138,3143,['David R.'],['David R.']
20th Anniversary of the Atomic Age,Fermi,59,64,"That day a group of scientists, led by the late Dr. Enrico Fermi, operated man’s first atomic reactor.",1,184,189,['Enrico Fermi'],['Enrico Fermi']
20th Anniversary of the Atomic Age,Fermi,74,79,My part was finished; I could relax and watch the master scientist Enrico Fermi take over and demonstrate that his theories and calculations were valid and that our preliminary work was well done.,31,2714,2719,['Enrico Fermi'],['Enrico Fermi']
20th Anniversary of the Atomic Age,Fermi,59,64,"That day, a group of scientists led by the late Dr. Enrico Fermi operated man’s first atomic reactor.",54,4973,4978,['Enrico Fermi'],['Enrico Fermi']
20th Anniversary of the Atomic Age,Fermi,166,171,"We had come dressed for the big occasion, and we hoped that the electronic instruments for which our group had been responsible would not fail and interfere with Dr. Fermi’s experiment.",75,6724,6729,['Fermi'],['Fermi']
20th Anniversary of the Atomic Age,Gerard,40,46,Present at that historic moment was Dr. Gerard S.,68,6087,6093,['Gerard S.'],['Gerard S.']
20th Anniversary of the Atomic Age,Johns,0,5,"Johnson, executive assistant of the Reactor Engineering Division at Argonne National Laboratory near Chicago.",57,5099,5104,['Johnson'],['Johnson']
20th Anniversary of the Atomic Age,Norman Hilberry,40,55,Present at that historic moment was Dr. Norman Hilberry former director of Argonne National Laboratory near Chicago.,3,306,321,['Norman Hilberry'],['Norman Hilberry']
20th Anniversary of the Atomic Age,Pawlicki,0,8,"Pawlicki, a physicist at Argonne National Laboratory near Chicago.",69,6096,6104,['Pawlicki'],['Pawlicki']
20th Anniversary of the Atomic Age,Robert,36,42,Present at that historic moment was Robert E.,56,5090,5096,['Robert E.'],['Robert E.']
20th Anniversary of the Atomic Age,Robert,36,42,Present at that historic moment was Robert G.,25,2190,2196,['Robert G.'],['Robert G.']
20th Anniversary of the Atomic Age,Rudolph,0,7,Rudolph of the Chicago Operations Office of the US Atomic Energy Commission.,36,3146,3153,['Rudolph'],['Rudolph']
20th Anniversary of the Atomic Age,Tony,1,5,"[Tony] Matz, a receiving and store supervisor at Argonne National Laboratory near Chicago.",47,4076,4080,['Tony] Matz'],['Tony] Matz']
20th Anniversary of the Atomic Age,Zinn,58,62,"On the eventful afternoon we sent them home at Dr. Walter Zinn’s request, having turned the heat off as an excuse so that their suspicions would not be aroused.",50,4436,4440,['Walter Zinn'],['Walter Zinn']
20th Anniversary of the Atomic Age,William,40,47,Present at that historic moment was Dr. William J.,13,1089,1096,['William J.'],['William J.']
20th Anniversary of the Atomic Age,Zinn,4,8,Dr. Zinn – one of the leading scientists – had informed me that he did not want too many people involved.,51,4542,4546,['Zinn'],['Zinn']
Abe Krash,Abe,22,25,"One day in the 1960s, Abe Fortas called me into his office.",332,28392,28395,['Abe Fortas'],['Abe Fortas']
Abe Krash,Abe,115,118,"I’m Cindy Kelly, Atomic Heritage Foundation, and it is Thursday, April 6, 2017, in Washington, D.C. I have with me Abe Krash.",1,120,123,"['Cindy Kelly', 'Abe Krash']",['Abe Krash']
Abe Krash,Abe,0,3,"Abe Krash, A-b-e K-r-a-s-h.",3,202,205,['Abe Krash'],['Abe Krash']
