Interviewee's name,Mentioned Name,Start_location,End_location,Sentence
Inge-Juliana Sackmann Christy,Kelly,64,69,"I’m Cindy Kelly, and I’m in Pasadena, California."
Inge-Juliana Sackmann Christy,Christy,139,146,And I’m with Inge-Juliana Sackmann Christy.
Inge-Juliana Sackmann Christy,Sam,340,343,": I-n-g-e, Juliana, J-u-l-i-a-n-a, Sackmann, S like Sam, a-c-k-m-a-n-n, Christy, C-h-r-i-s-t-y."
Tom Foulds,Tom,86,89,I am interviewing Tom Foulds.
Tom Foulds,Frank,169,174,"Tom T-o-m, Foulds F as in Frank, o-u-l-d-s."
Tom Foulds,Karen,381,386,"I’ll be asking you some questions, and Karen [Dorn Steele] will be asking you some questions."
Tom Foulds,Steele,393,399,"I’ll be asking you some questions, and Karen [Dorn Steele] will be asking you some questions."
Richard Eymann,Richard,29,36,"Our second interview is with Richard Eymann, Spokane attorney and lead trial attorney for the Hanford downwinders."
Richard Eymann,Dick,237,241,Dick—may I call you Dick? Dick or Richard is fine.
Bob Cook,Robert,52,58,"Robert Cook, a retired Nuclear Regulatory Commission overseer at Hanford Reservation."
Bob Cook,Cook,59,63,"Robert Cook, a retired Nuclear Regulatory Commission overseer at Hanford Reservation."
Bob Cook,Barry,1809,1814,It was a brand-new program formed by Barry Commoner.
George Warren Reed,Mary,49,53,"How would you describe your mother, grandmother, Mary Elizabeth? She was a tough cookie."
George Warren Reed,Elizabeth,54,63,"How would you describe your mother, grandmother, Mary Elizabeth? She was a tough cookie."
George Warren Reed,Sarah,174,179,"What was Sarah like in comparison? Were they similar, different? What was Sarah like? I wasn’t around Sarah, but, you know, a couple of months during the summer."
George Warren Reed,Irene,799,804,"How would you describe Irene, then? Irene was one who always embraced the family."
George Warren Reed,Lee,982,985,"She came to Chicago when you all were born, and I think she came to Chicago when Lee had her ovarian surgery, too."
George Warren Reed,George,1650,1656,There’s a story that Grandma tells about—I’m sure you didn’t know about it—Sarah asking George for money.
George Warren Reed,Don,1921,1924,"She wrote her a letter telling, “Don’t you ever, ever put George in that situation again."
George Warren Reed,Eleanor,2100,2107,"Oh, you mean my mother [Eleanor Belle Newman Reed]? Oh, yeah."
George Warren Reed,Belle,2108,2113,"Oh, you mean my mother [Eleanor Belle Newman Reed]? Oh, yeah."
George Warren Reed,Newman,2114,2120,"Oh, you mean my mother [Eleanor Belle Newman Reed]? Oh, yeah."
George Warren Reed,Reed,2121,2125,"Oh, you mean my mother [Eleanor Belle Newman Reed]? Oh, yeah."
Raymond Sheline,Harry,549,554,"I remember my brother, Harry, just Harry and I, that I remember."
Raymond Sheline,Richard,637,644,"I don’t think we had the third child, who was Richard yet."
Alexander Klementiev,Kelly,50,55,"I’m Cindy Kelly, Atomic Heritage Foundation."
Alexander Klementiev,Alexander,100,109,I have with me Alexander Klementiev.
Alexander Klementiev,Roger,2125,2130,"The Director of the Institute was an American professor, Roger Levien, from RAND Corporation."
Karen Dorn Steele,Karen,32,37,"Karen, can you spell your name and say your name, please? Yeah."
Karen Dorn Steele,Steele,121,127,"So, my name’s Karen Dorn Steele."
Karen Dorn Steele,David,1525,1530,"I met David Schoenborn, who was a correspondent for television networks, and Pierre Salinger."
Karen Dorn Steele,Pierre,1596,1602,"I met David Schoenborn, who was a correspondent for television networks, and Pierre Salinger."
Karen Dorn Steele,Margaret,1674,1682,"And a wonderful British woman, she worked for the BBC, named Margaret Pope, who became my unconscious role model, because she was very ambitious."
Karen Dorn Steele,Pope,1683,1687,"And a wonderful British woman, she worked for the BBC, named Margaret Pope, who became my unconscious role model, because she was very ambitious."
Collene Dunbar,Dunbar,93,99,"Okay, why don’t we start by having you tell us your name and spelling it? My name is Collene Dunbar, C-O-L-L-E-N-E, and it’s pronounced Coll-ene."
Carol Roberts,Carol,64,69,"Okay, my name is Carol B."
Carol Roberts,Roberts,73,80,Roberts.
Carol Roberts,Bobby,110,115,"C-A-R-O-L, initial B, as in Bobby, R-O-B-E-R-T-S."
Karen Dorn Steele,Karen,32,37,"Karen, can you spell your name and say your name, please? Yeah."
Karen Dorn Steele,Steele,121,127,"So, my name’s Karen Dorn Steele."
Karen Dorn Steele,David,1525,1530,"I met David Schoenborn, who was a correspondent for television networks, and Pierre Salinger."
Karen Dorn Steele,Pierre,1596,1602,"I met David Schoenborn, who was a correspondent for television networks, and Pierre Salinger."
Karen Dorn Steele,Margaret,1674,1682,"And a wonderful British woman, she worked for the BBC, named Margaret Pope, who became my unconscious role model, because she was very ambitious."
Karen Dorn Steele,Pope,1683,1687,"And a wonderful British woman, she worked for the BBC, named Margaret Pope, who became my unconscious role model, because she was very ambitious."
Collene Dunbar,Dunbar,93,99,"Okay, why don’t we start by having you tell us your name and spelling it? My name is Collene Dunbar, C-O-L-L-E-N-E, and it’s pronounced Coll-ene."
Carol Roberts,Carol,64,69,"Okay, my name is Carol B."
Carol Roberts,Roberts,73,80,Roberts.
Carol Roberts,Bobby,110,115,"C-A-R-O-L, initial B, as in Bobby, R-O-B-E-R-T-S."
Virginia Ballard,Randall,1738,1745,"I think there was one other grocery store a little later, I think it was called Randall Doyle."
Virginia Ballard,Doyle,1746,1751,"I think there was one other grocery store a little later, I think it was called Randall Doyle."
John Price,Kelly,18,23,I’m Cindy Kelly.
John Price,John,99,103,"I’m in Richland, Washington, and I have with me John Price."
John Price,Price,104,109,"I’m in Richland, Washington, and I have with me John Price."
Masao Tomonaga,Kelly,162,167,"[I am] Cindy Kelly, Atomic Heritage Foundation."
Masao Tomonaga,Tom,276,279,"My name is Masao Tomonaga, honorary director of the Japanese Red Cross Nagasaki Atom Bomb Hospital."
Glenn Schweitzer,Kelly,11,16,"I am Cindy Kelly, Atomic Heritage Foundation, in Washington, DC."
Glenn Schweitzer,Glenn,105,110,"It is June 27, 2018, and I have with me Glenn Schweitzer."
Keith Klein,Kelly,18,23,I’m Cindy Kelly.
Keith Klein,Keith,106,111,"I have with me Keith Klein, and my first question for him is to say his name and spell it."
Keith Klein,Klein,112,117,"I have with me Keith Klein, and my first question for him is to say his name and spell it."
Dennis Faulk,Kelly,12,17,: I’m Cindy Kelly.
Dennis Faulk,Dennis,61,67,Dennis Faulk.
John Fox,Kelly,10,15,I’m Cindy Kelly.
John Fox,John,62,66,"It is September 11, 2018, and I have with me John Fox."
John Fox,Fox,67,70,"It is September 11, 2018, and I have with me John Fox."
Robert Franklin,Kelly,45,50,I’m Cindy Kelly.
Robert Franklin,Robert,67,73,"I have with me Robert Franklin, and my first request is to say your full name and spell it."
Robert Franklin,Franklin,74,82,"I have with me Robert Franklin, and my first request is to say your full name and spell it."
Robert Franklin,Bob,1087,1090,"That’s where I got introduced to Hanford by Bob Bauman, Robert Bauman, who was leading a graduate-level seminar on the Hanford oral history project."
