name,roles
A. Becher,"['Manhattan Project Veteran', 'Project Worker/Staff']"
A. Berkemeier,"['Manhattan Project Veteran', 'Project Worker/Staff']"
A. Bradley,"['Manhattan Project Veteran', 'Project Worker/Staff']"
A. Castle,"['Manhattan Project Veteran', 'Project Worker/Staff']"
A. Downey,"['Manhattan Project Veteran', 'Project Worker/Staff']"
A. Frei,"['Manhattan Project Veteran', 'Project Worker/Staff']"
A. Gawthrop,"['Manhattan Project Veteran', 'Project Worker/Staff']"
A. Law,"['Manhattan Project Veteran', 'Project Worker/Staff']"
A. Miller,"['509th Composite Group', 'Manhattan Project Veteran', 'Military Veteran']"
A. Mulder,"['Manhattan Project Veteran', 'Project Worker/Staff']"
A. Olson,"['Manhattan Project Veteran', 'Project Worker/Staff']"
A. Parlett Jr.,"['Manhattan Project Veteran', 'Project Worker/Staff']"
A. Roach,"['Manhattan Project Veteran', 'Project Worker/Staff']"
"A. Schmidt, Jr.","['Manhattan Project Veteran', 'Project Worker/Staff']"
A. Schwiebert,"['Manhattan Project Veteran', 'Project Worker/Staff']"
A. Smith,"['Manhattan Project Veteran', 'Project Worker/Staff']"
A. Stanford,"['Manhattan Project Veteran', 'Project Worker/Staff']"
A. Zafonte,"['509th Composite Group', 'Manhattan Project Veteran', 'Military Veteran']"
A. A. Abrams,"['Manhattan Project Veteran', 'Project Worker/Staff']"
A. A. Addison,"['Manhattan Project Veteran', 'Military Veteran', 'Project Worker/Staff']"
A. A. Carswell,"['Manhattan Project Veteran', 'Project Worker/Staff']"
A. A. Friedrich,"['Manhattan Project Veteran', 'Military Veteran', 'Project Worker/Staff']"
A. A. Groppe,"['Manhattan Project Veteran', 'Project Worker/Staff']"
A. A. Hinton,"['Manhattan Project Veteran', 'Project Worker/Staff']"
A. A. Layman,"['Manhattan Project Veteran', 'Project Worker/Staff']"
A. A. Lind,"['Manhattan Project Veteran', 'Project Worker/Staff']"
A. A. Maupin,"['Manhattan Project Veteran', 'Project Worker/Staff']"
A. A. Nickman,"['Manhattan Project Veteran', 'Project Worker/Staff']"
A. A. Thomas,"['Manhattan Project Veteran', 'Project Worker/Staff']"
A. A. Uebelacker,"['Manhattan Project Veteran', 'Project Worker/Staff']"
A. A. White,"['Manhattan Project Veteran', 'Military Veteran', 'Project Worker/Staff']"
A. A. White,"['Manhattan Project Veteran', 'Project Worker/Staff']"
A. B. Beddoe,"['Manhattan Project Veteran', 'Project Worker/Staff']"
A. B. Cardwell,"['Manhattan Project Veteran', 'Project Worker/Staff']"
A. B. Carper,"['Manhattan Project Veteran', 'Project Worker/Staff']"
A. B. Cason,"['Manhattan Project Veteran', 'Project Worker/Staff']"
A. B. Cort,"['Manhattan Project Veteran', 'Project Worker/Staff']"
A. B. Hale,"['Manhattan Project Veteran', 'Project Worker/Staff']"
A. B. Hamilton,"['Manhattan Project Veteran', 'Project Worker/Staff']"
A. B. Kincaid,"['Manhattan Project Veteran', 'Project Worker/Staff']"
A. B. Matheo,"['Manhattan Project Veteran', 'Project Worker/Staff']"
A. B. McKee,"['Manhattan Project Veteran', 'Project Worker/Staff']"
A. B. Pruitt,"['Manhattan Project Veteran', 'Project Worker/Staff']"
A. B. Sosna,"['509th Composite Group', 'Manhattan Project Veteran', 'Military Veteran']"
A. C. Bateman,"['Manhattan Project Veteran', 'Project Worker/Staff']"
A. C. Beem,"['Manhattan Project Veteran', 'Project Worker/Staff']"
A. C. Beltzner,"['Manhattan Project Veteran', 'Project Worker/Staff']"
A. C. Blackman,"['Manhattan Project Veteran', 'Project Worker/Staff']"
A. C. Cox,"['Manhattan Project Veteran', 'Project Worker/Staff']"
A. C. Crymble,"['Manhattan Project Veteran', 'Project Worker/Staff']"
A. B. Cort,"['Manhattan Project Veteran', 'Project Worker/Staff']"
A. B. Hale,"['Manhattan Project Veteran', 'Project Worker/Staff']"
A. B. Hamilton,"['Manhattan Project Veteran', 'Project Worker/Staff']"
A. B. Kincaid,"['Manhattan Project Veteran', 'Project Worker/Staff']"
A. B. Matheo,"['Manhattan Project Veteran', 'Project Worker/Staff']"
A. B. McKee,"['Manhattan Project Veteran', 'Project Worker/Staff']"
A. B. Pruitt,"['Manhattan Project Veteran', 'Project Worker/Staff']"
A. B. Sosna,"['509th Composite Group', 'Manhattan Project Veteran', 'Military Veteran']"
A. C. Bateman,"['Manhattan Project Veteran', 'Project Worker/Staff']"
A. C. Beem,"['Manhattan Project Veteran', 'Project Worker/Staff']"
A. C. Beltzner,"['Manhattan Project Veteran', 'Project Worker/Staff']"
A. C. Blackman,"['Manhattan Project Veteran', 'Project Worker/Staff']"
A. C. Cox,"['Manhattan Project Veteran', 'Project Worker/Staff']"
A. C. Crymble,"['Manhattan Project Veteran', 'Project Worker/Staff']"
A.C. Heckenlaible,"['Manhattan Project Veteran', 'Project Worker/Staff']"
A. C. Holeman,"['Manhattan Project Veteran', 'Project Worker/Staff']"
A. C. Hudson,"['Manhattan Project Veteran', 'Project Worker/Staff']"
A. C. Leonard,"['Manhattan Project Veteran', 'Project Worker/Staff']"
A. C. Mitchell,"['Manhattan Project Veteran', 'Project Worker/Staff']"
A. C. Nauman,"['Manhattan Project Veteran', 'Military Veteran', 'Provisional Engineer Detachment']"
A. C. Phillips,"['Manhattan Project Veteran', 'Project Worker/Staff']"
A. C. Richards,"['Manhattan Project Veteran', 'Project Worker/Staff']"
A. C. Samford,"['Manhattan Project Veteran', 'Project Worker/Staff']"
A. C. Skortz,"['Manhattan Project Veteran', 'Military Veteran', 'Project Worker/Staff']"
